Abóbora aos Pedaços,Continente,Unidade,emb. 750 gr
Alho Picado,Continente,Unidade,emb. 150 gr
Feijão Verde Redondo,Continente,Unidade,emb. 750 gr
Esparregado de Espinafres,Iglo,Unidade,emb. 750 gr
Esparregado de Espinafres,Continente,Unidade,emb. 700 gr
Brócolos,Continente,Unidade,emb. 1 kg
Couve Flor,Continente,Unidade,emb. 750 gr
Espinafres em Folha,Continente,Unidade,emb. 750 gr
Couve de Bruxelas,Continente,Unidade,emb. 750 gr
Cenoura Baby,Continente,Unidade,emb. 750 gr
Ervilhas,Iglo,Unidade,emb. 700 gr
Brócolos,Bonduelle,Unidade,emb. 400 gr
"Mistura de Brócolos, Couve-flor e Cenoura",Continente,Unidade,emb. 1 kg
Ervilhas Baby,Continente,Unidade,emb. 400 gr
Cogumelos Laminados,Continente,Unidade,emb. 400 gr
Mistura de Ervilhas e Cenoura,Continente,Unidade,emb. 750 gr
Mistura de Feijão Verde e Cenoura,Continente,Unidade,emb. 400 gr
Ervilhas,Continente,Unidade,emb. 1 kg
Tomate em Cubos,Continente,Unidade,emb. 400 gr
Mistura de Dois Pimentos,Continente,Unidade,emb. 400 gr
Ervilhas,Continente Bio,Unidade,emb. 750 gr
Esparregado de Grelos,Continente Seleção,Unidade,emb. 350 gr
Mistura de Cogumelos,Continente,Unidade,emb. 400 gr
Alho Francês Cortado,Continente,Unidade,emb. 750 gr
Ervilhas,Continente,Unidade,emb. 1 kg
Ervilhas,Iglo,Unidade,"emb. 1,125 kg"
Coentros Picados,Continente,Unidade,emb. 150 gr
Cebola Picada,Iglo,Unidade,emb. 350 gr
Alho Picado,Iglo,Unidade,emb. 150 gr
Ervilhas Primavera,Iglo,Unidade,emb. 500 gr
Milho Doce,Continente,Unidade,emb. 750 gr
Ervilhas,Continente,Unidade,emb. 400 gr
"Mistura de Curgete, Beringela e Pimentos Grelhados",Continente,Unidade,emb. 400 gr
Salteado de Espinafres com Alho,Continente,Unidade,emb. 750 gr
Veggie Bowls Trigo Sarraceno e Brócolos,Iglo Green Cuisine,Unidade,emb. 350 gr
Jardineira,Continente,Unidade,emb. 750 gr
Esparregado de Espinafres,Continente,Unidade,emb. 350 gr
Veggie Bowls de Quinoa e Abóbora,Iglo Green Cuisine,Unidade,emb. 350 gr
Espinafres Mil-Folhas,Bonduelle,Unidade,emb. 400 gr
Morangos,Continente,Unidade,emb. 750 gr
Salsa Picada,Continente,Unidade,emb. 150 gr
Mirtilos,Continente,Unidade,emb. 400 gr
Brócolos,Iglo,Unidade,emb. 533 gr
Macedónia,Continente,Unidade,emb. 1 kg
Cubos de Curgete,Origens Bio,Unidade,emb. 300 gr
Couscous de Quinoa e Vegetais,Continente,Unidade,emb. 300 gr
Mistura de Frutos Silvestres,Continente,Unidade,emb. 650 gr
Mistura de Legumes Orientais,Continente,Unidade,emb. 750 gr
"Refeição Vegetariana de Cevada, Ervilhas e Espinafres",Continente Equilíbrio,Unidade,emb. 350 gr
Salteado Rústico,Bonduelle,Unidade,emb. 400 gr
Framboesas,Continente,Unidade,emb. 500 gr
Salteado da Horta,Bonduelle,Unidade,emb. 400 gr
Veggie Bowls de Couscous e Edamame,Iglo Green Cuisine,Unidade,emb. 350 gr
Mistura de Legumes Mediterrâneos,Continente,Unidade,emb. 750 gr
Salteado de Grelos com Alho,Continente,Unidade,emb. 750 gr
Veggie Bowls de Bulgur e Courgette,Iglo Green Cuisine,Unidade,emb. 350 gr
Salteado de Legumes Estilo Parisino,Bonduelle,Unidade,emb. 400 gr
Jardineira,Iglo,Unidade,emb. 650 gr
Favas,Continente,Unidade,emb. 1 kg
Riced Veggies Tricolor,Continente,Unidade,emb. 500 gr
Grelos Mil-Folhas,Bonduelle,Unidade,emb. 400 gr
Espargos Verdes,Continente,Unidade,emb. 300 gr
Mistura para Refogado,Continente,Unidade,emb. 250 gr
Ervilhas Primavera,Iglo,Unidade,emb. 800 gr
Sopa de Legumes,Iglo,Unidade,emb. 750 gr
Mistura de Legumes Estilo Italiano,Continente,Unidade,emb. 750 gr
Sorvete de Açaí e Guaraná,Native Açaí,Unidade,emb. 160 ml
Ervilhas,Bonduelle,Unidade,emb. 400 gr
Mistura de Legumes Vaporizados,Bonduelle,Unidade,emb. 750 gr
Favas,Iglo,Unidade,emb. 700 gr
Sorvete de Açaí com Stevia,Native Açaí,Unidade,emb. 160 ml
Salteado do Campo,Bonduelle,Unidade,emb. 750 gr
Curgete Verde,Continente,Quilo,Quant. Mínima = 500 gr (1 un)
Cenoura Embalada,Continente,Unidade,emb. 1 kg
Couve Brócolo,Continente,Quilo,Quant. Mínima = 500 gr (1 un)
Pepino,Continente,Quilo,Quant. Mínima = 300 gr (1 un)
Cebola,Continente,Unidade,"emb. 1,5 kg"
Espinafre Baby Leaf,Continente,Unidade,emb. 170 gr
Tomate em Cacho,Continente,Quilo,Quant. Mínima = 480 gr (3 un)
Cenoura,Continente,Quilo,Quant. Mínima = 680 gr (4 un)
Alho Francês Cortado,Continente,Unidade,emb. 300 gr
Alface Frisada,Continente,Quilo,Quant. Mínima = 800 gr (1 un)
Tomate Redondo,Continente,Quilo,Quant. Mínima = 690 gr (3 un)
Batata Vermelha,Continente,Unidade,emb. 3 kg
Cebola Nova,Continente,Quilo,Quant. Mínima = 400 gr (2 un)
Batata Doce,Continente,Quilo,Quant. Mínima = 1 kg (2 un)
Batata Branca,Continente,Unidade,emb. 3 kg
Nabo sem Rama,Continente,Quilo,Quant. Mínima = 500 gr (2 un)
Couve Flor Inteira,Continente,Quilo,"Quant. Mínima = 1,4 kg (1 un)"
Tomate Cherry Vermelho,Continente,Unidade,emb. 250 gr
Pimento Vermelho,Continente,Quilo,Quant. Mínima = 400 gr (1 un)
Alho Seco,Continente,Unidade,emb. 400 gr
Cebola Roxa,Continente,Quilo,Quant. Mínima = 320 gr (2 un)
Couve Coração Inteira,Continente,Quilo,"Quant. Mínima = 1,1 kg (1 un)"
Salada Aromática,Continente,Unidade,emb. 150 gr
Cogumelo Marron,Continente,Unidade,emb. 300 gr
Tomate Cherry Trimix,Continente,Unidade,emb. 250 gr
Abóbora Manteiga (Butternut) Inteira,Continente,Quilo,"Quant. Mínima = 1,3 kg (1 un)"
Tomate Chucha,Continente,Quilo,Quant. Mínima = 560 gr (4 un)
Batata Vermelha,Continente,Quilo,Quant. Mínima = 600 gr (2 un)
Cogumelo Branco Inteiro,Continente,Unidade,emb. 300 gr
Tomate Mini Chucha Vermelho,Continente,Unidade,emb. 250 gr
Batata Doce Polpa Laranja,Continente,Unidade,emb. 1 kg
Cenoura Biológica,Continente Bio,Unidade,emb. 500 gr
Alho seco,Continente,Quilo,Quant. Mínima = 200 gr (2 un)
Cogumelo Branco Laminado,Continente,Unidade,emb. 250 gr
Rúcula Selvagem,Continente,Unidade,emb. 100 gr
Salada Ibéria,Continente,Unidade,emb. 150 gr
Chuchu,Continente,Quilo,Quant. Mínima = 760 gr (2 un)
Beringela,Continente,Quilo,Quant. Mínima = 400 gr (1 un)
Salada Camponesa,Continente,Unidade,emb. 250gr
Alface Iceberg,Continente,Quilo,Quant. Mínima = 600 gr (1 un)
Pimento Tricolor,Continente,Unidade,emb. 500 gr
Cebola,Continente,Unidade,emb. 2 kg
Feijão Verde,Continente,Unidade,emb. 500 gr
Feijão Verde Largo,Continente,Quilo,Quant. Mínima = 200 gr
Cebola Doce,Continente,Unidade,emb. 1 kg
Tomate Cherry Alongado,Tomaticious,Unidade,emb. 250 gr
Tomate Cherry Vermelho Ramo,Continente,Unidade,emb. 500 gr
Batata Vermelha,Continente,Unidade,emb. 5 kg
Agrião Baby,Continente,Unidade,emb. 150 gr
Bimi,Bimi,Unidade,emb. 200 gr
Pimento Verde,Continente,Quilo,Quant. Mínima = 700 gr (2 un)
Batata para Assar,Continente,Unidade,emb. 2 kg
Tomate Coração de Boi,Continente,Quilo,Quant. Mínima = 700 gr (2 un)
Beterraba sem Rama,Continente,Quilo,Quant. Mínima = 600 gr (2 un)
Salada Iceberg,Continente,Unidade,emb. 200 gr
Curgete Biológica,Continente Bio,Unidade,emb. 500 gr
Salada Gourmet,Continente,Unidade,emb. 175 gr
Aipo,Continente,Unidade,emb. 500 gr
Cebola Biológica,Continente Bio,Unidade,emb. 750 gr
Batata Especial Assar,Continente Seleção,Unidade,emb. 1 kg
Couve Branca Inteira,Continente,Quilo,Quant. Mínima = 2 kg (1 un)
Batata Especial Cozer,Continente,Unidade,emb. 3 kg
Cenoura Ripada,Continente,Unidade,emb. 200 gr
Caldo Verde,Continente,Unidade,emb. 250 gr
Batata Especial Assar,Continente,Unidade,emb. 500 gr
Batata Branca,Continente,Unidade,emb. 5 kg
Cogumelo Marron Laminado,Continente,Unidade,emb. 250 gr
Alho Francês,Continente,Unidade,emb. 700 gr
Cogumelo Portobello,Continente,Unidade,emb. 250 gr
Salada Lollo e Tango,Continente,Unidade,emb. 150 gr
Espargos Verdes,Continente,Unidade,emb. 250 gr
Tomate Cherry Sweet Vermelho,Continente,Unidade,emb. 250 gr
Alho Seco Biológico,Continente Bio,Unidade,emb. 150 gr
Canónigos,Continente,Unidade,emb. 125 gr
Alho Seco Morado,Continente,Unidade,emb. 200 gr
Gengibre,Continente,Quilo,Quant. Mínima = 400 gr (1 un)
Couve Lombarda/Saboia Inteira,Continente,Quilo,"Quant. Mínima = 1,3 kg (1 un)"
Mistura de Pimentos Doces,Continente,Unidade,emb. 200 gr
Espinafre,Vitacress,Unidade,emb. 300 gr
Alface Roxa,Continente,Unidade,emb. 200 gr
Metade Couve Coração,Continente,Quilo,1/2 Couve = 550 gr
Espinafre,Vitacress,Unidade,emb. 150 gr
Cebola Chalota,Continente,Unidade,emb. 250 gr
Metade Couve Branca,Continente,Quilo,1/2 Couve = 1 kg
Preparado para Sopa de Espinafres,ELS,Unidade,emb. 500 gr
Batata Doce,Continente,Unidade,emb. 1 kg
Salada Iceberg,Florette,Unidade,emb. 250 gr
Beterraba Cozida Inteira,Continente,Unidade,emb. 500 gr
Docinhas Cenoura Baby,Continente,Unidade,emb. 250 gr
Cebolinha Fresca,Continente,Unidade,emb. 125 gr
Batata Doce Polpa Laranja Biológica,Continente Bio,Unidade,emb. 1 kg
Cogumelo Pleurotus,Continente,Unidade,emb. 200 gr
Tomate Mini Chucha Sweet,Continente,Unidade,emb. 200 gr
Batata Biológica,Continente Bio,Unidade,emb. 1 kg
Batata para Fritar,Meléndez,Unidade,emb. 3 kg
Cenouras Baby,Snock,Unidade,emb. 125 gr
Cenouras Baby,Snock,Unidade,emb. 125 gr
Nabiça Baby,Continente,Unidade,emb. 150 gr
Batata,Princesa Amandine,Unidade,"emb. 1,5 kg"
Alho Francês Biológico,Continente Bio,Unidade,emb. 400 gr
Batata Especial Assar,Continente,Unidade,emb. 1 kg
Snack Mini Pepino,My Cubies,Unidade,emb. 250 gr
Couve Brócolo Biológico,My Cubies,Unidade,emb. 400 gr
Tomate Cacho Biológico,Continente Bio,Unidade,emb. 500 gr
Cogumelo Marron,Continente,Quilo,Quant. Mínima = 360 gr (6 un)
Rabanete,Continente,Unidade,emb. 200 gr
Couve Roxa Inteira,Continente,Quilo,"Quant. Mínima = 1,2 kg (1 un)"
Beterraba Cozida Inteira Biológica,Beterraba Bio,Unidade,emb. 450 gr
Sopa Portuguesa,Continente,Unidade,emb. 350 gr
Sopa Juliana,Continente,Unidade,emb. 450 gr
Pimento Padrão,Continente,Unidade,emb. 250 gr
Espinafre Biológico,Vitacress,Unidade,emb. 150 gr
Salada Ibérica,Vitacress,Unidade,emb. 150 gr
Tomate Tasty,Continente,Unidade,emb. 400 gr
Cebola Doce,Continente,Unidade,emb. 700 gr
Gengibre Biológico,Continente Bio,Unidade,emb. 300 gr
Cogumelo Shitake,Continente,Unidade,emb. 200 gr
Metade Couve Lombarda/Saboia,Continente,Quilo,1/2 Couve = 650 gr
Metade Couve Roxa,Continente,Quilo,1/2 Couve = 600 gr
Feijão Verde Redondo,Continente,Unidade,emb. 200 gr
Feijão Verde Redondo,Continente,Unidade,emb. 200 gr
Rúcula Selvagem,Vitacress,Unidade,emb. 50 gr
Beterraba Ripada,Continente,Unidade,emb. 200 gr
Cebola Roxa,Continente,Unidade,emb. 500 gr
Mandioca,Continente,Quilo,Quant. Mínima = 800 gr (1 un)
Salada da Terra,Vitacress,Unidade,emb. 150 gr
Malagueta Vermelha,Continente,Unidade,emb. 100 gr
Couve Roxa Ripada,Continente,Unidade,emb. 250 gr
Grelos de Nabo,Continente,Unidade,emb. 700 gr
Agrião,Vitacress,Unidade,emb. 125 gr
Nabiça,Continente,Unidade,emb. 700 gr
Espinafre Biológico,Continente Bio,Unidade,emb. 300 gr
Tomate Rosa,Tip Top,Quilo,Quant. Mínima = 250 gr (1 un)
Couve Branca Ripada,Continente,Unidade,emb. 200 gr
Cebola para assar,Continente,Unidade,emb. 500 gr
Ervilha Torta,Continente,Unidade,emb. 200 gr
Acelga,Vitacress,Unidade,emb. 100 gr
Cebola Roxa Biológica,Continente Bio,Unidade,emb. 500 gr
Inhame,Continente,Quilo,Quant. Mínima = 600 gr (3 un)
Rúcula Selvagem,Vitacress,Unidade,emb. 100 gr
Beringela Biológica,Continente Bio,Unidade,emb. 400 gr
Feijão Verde Cortado,Continente,Unidade,emb. 350 gr
Couve Chinesa,Continente,Quilo,Quant. Mínima = 600 gr (1 un)
Salada Selvagem,Continente Seleção,Unidade,emb. 150 gr
Preparado para Creme de Cenoura,Continente Fácil & Bom,Unidade,emb. 780 gr
Salada de Rúcula,Florette,Unidade,emb. 100 gr
Cogumelo Branco,Continente,Quilo,Quant. Mínima = 360 gr (6 un)
Mini Pimento Doce,Horta Sudoeste,Unidade,emb. 200 gr
Cogumelo Branco Biológico,Continente Bio,Unidade,emb. 200 gr
Salada Formosa,Vitacress,Unidade,emb. 150 gr
Salteado Crocante,Continente,Unidade,emb. 500 gr
Couve Coração Resíduo Zero,Hortapronta,Quilo,"emb. 1,1 kg (1 un)"
Maçaroca de Milho Doce Cozido Biológico,Ecoeduco,Unidade,emb. 400 gr
Espargos Finos,,Unidade,emb. 250 gr
Curcuma Biológica,Continente Bio,Unidade,emb. 125 gr
Alface Frisada Biológica,Continente Bio,Quilo,Quant. Mínima = 300 gr (1 un)
Grelo Couve,Continente,Unidade,emb. 700 gr
Couve Coração Biológica,Continente Bio,Unidade,emb. 700 gr
Salada Riva,Vitacress,Unidade,emb. 150 gr
Endívia,Continente,Unidade,emb. 450 gr
Salteado Oriental,Continente Fácil & Bom,Unidade,emb. 300 gr
Feijão Verde Biológico,Continente Bio,Unidade,emb. 300 gr
Creme Couve Flor Cenoura,Continente Fácil & Bom,Unidade,emb. 460 gr
Sopa Alho Francês com Cenoura,Continente,Unidade,emb. 350 gr
Mix de Legumes com Kale,Continente,Unidade,emb. 400 gr
Salada de Espinafre,Florette,Unidade,emb. 175 gr
Preparado de Sopa de Agrião,ELS,Unidade,emb. 500 gr
Aipo Biológico,Continente Bio,Unidade,emb. 350 gr
Alho Seco Descascado,ELS,Unidade,emb. 100 gr
Cheróvia Biológica,Continente Bio,Unidade,emb. 350 gr
Salada Ibérica Biológica,Vitacress,Unidade,emb. 100 gr
Couve Flor Biológica,Continente Bio,Unidade,emb. 500 gr
Sopa Feijão Verde com Cenoura,Continente,Unidade,emb. 400 gr
Salada Crocante,Vitacress,Unidade,emb. 250 gr
Rebentos de Feijão,ELS,Unidade,emb. 150 gr
Dips Cenoura,Dona Salada,Unidade,emb. 120 gr (8 un)
"Mix Cogumelo Branco, Marron, Pleurotus e Shimeji",Continente,Unidade,emb. 200 gr
Curgete Redonda,Continente,Quilo,Quant. Mínima = 400 gr (1 un)
Trio de Malaguetas,Continente,Unidade,emb. 100 gr
Couve Branca Biológica,Continente Bio,Unidade,emb. 700 gr
Salada Sublime,Continente Seleção,Unidade,emb. 150 gr
"Fusilli com Legumes, Molho de Tomate e Frango",Cozinha Continente,Unidade,emb. 320 gr
Edamame,Sonatural,Unidade,emb. 135 gr
Cogumelo Pleurothus Biológico,Continente Bio,Unidade,emb. 150 gr
Creme Batata Doce e Espinafres,Continente Fácil & Bom,Unidade,emb. 450 gr
Salada Aromática Bio,Vitacress,Unidade,emb. 100 gr
Croutons Alho e Ervas,Florette,Unidade,emb. 70 gr
Pimento Biológico,Continente Bio,Unidade,emb. 300 gr
Cogumelo Eringi Baby,Continente,Unidade,emb. 200 gr
Pimento Assado às Tiras Biológico,Continente Bio,Unidade,emb. 250 gr
Cogumelo Shimeji Inteiro,Continente,Unidade,emb. 150 gr
Dips Pepino,Dona Salada,Unidade,emb. 120 gr
Salada Campestre,Continente Seleção,Unidade,emb. 150 gr
Molho Iogurte,Vitacress,Unidade,emb. 200 ml
Tomate Raf,Continente,Quilo,Quant. Mínima = 740 gr (2 un)
Salada Toscana,Florette,Unidade,emb. 250 gr
Acelga Biológica,Continente Bio,Unidade,emb. 500 gr
Cebola Frita,Florette,Unidade,emb. 70 gr
Couve Kale Biológica,Continente Bio,Unidade,emb. 300 gr
Beringela Japonesa,Continente Bio,Unidade,emb. 300 gr
Couve Portuguesa Biológica,Continente Bio,Quilo,emb. 550 gr
Salada Antiox,Florette,Unidade,emb. 100 gr
Rúcula Selvagem Biológica,Vitacress,Unidade,emb. 70 gr
Cebola Branca,Continente,Unidade,emb. 500 gr
Algas Kombu Biológicas,Wissi,Unidade,emb. 30 gr
Molho Vinagrete,Vitacress,Unidade,emb. 200 ml
Floreto de Couve Flor,Continente,Unidade,emb. 500 gr
Pimento Misto Tiras,Continente,Unidade,emb. 260 gr
Cogumelo Shitake Biológico,Continente Bio,Unidade,emb. 115 gr
Beringela Raiada Roxa,Continente,Quilo,Quant. Mínima = 330 gr (1 un)
Cogumelo Marron Biológico,Continente Bio,Unidade,emb. 150 gr
Espalmados de Cogumelos,Continente Bio,Unidade,emb. 400 gr (4 un)
Cebolinha Francesa,Continente,Unidade,emb. 500 gr
Espalmados de Brócolos,Continente,Unidade,emb. 400 gr (4 un)
Cogumelo Enoki,Continente,Unidade,emb. 100 gr
Espalmados de Cenoura,Continente,Unidade,emb. 400 gr (4 un)
Tomate Frito,Heinz,Unidade,emb. 350 gr
Maionese sem Glúten,Hellmann's,Unidade,emb. 270 gr
Polpa de Tomate,Compal da Horta,Unidade,emb. 3 x 210 gr
Sal Marinho Tradicional,Marnoto,Unidade,emb. 1 kg
Molho Basílico em Vidro sem Glúten,Barilla,Unidade,emb. 400 ml
Polpa de Tomate,Guloso,Unidade,emb. 3 x 210 gr
Tomate em Pedaços,Continente,Unidade,emb. 390 gr
Esparguete com Molho Pesto Alla Genovese,Continente,Unidade,emb. 390 gr
Polpa de Tomate,Continente,Unidade,emb. 500 gr
Polpa de Tomate,Continente,Unidade,emb. 1 kg
Molho Pesto Alla Genovese,Barilla,Unidade,emb. 190 gr
Tomate Triturado,Continente,Unidade,emb. 390 gr
Tomate Pelado em Pedaços,Guloso,Unidade,emb. 390 gr
Alho Moído em Saqueta,Continente,Unidade,emb. 60 gr
Leite de Coco,Continente,Unidade,emb. 400 ml
Polpa de Tomate,Compal da Horta,Unidade,emb. 500 gr
Tomate Pelado,Continente,Unidade,emb. 390 gr (peso escorrido 240 gr)
Maionese,Hellmann's,Unidade,emb. 416 gr
